id,name,parent_id,created_at,updated_at,children_count,cover,logo,product_template_id,state,status_text,position,suppliers_count,post_tag,products_count,slug,certifiers_count,labels_count,cover_original_content_type,cover_original_filename,cover_original_filesize,logo_original_content_type,logo_original_filename,logo_original_filesize,cover_title,cover_alt,cover_description,logo_title,logo_alt,logo_description
8f9ef6d7-ea2c-424d-a443-9bb3a289bb72,Sheep,86143d85-d4f8-495d-8607-c08b762e4bef,2020-07-28 22:07:36.083416,2020-08-24 08:59:30.701706,0,,,,disabled, ,7,0,,0,food-and-beverage-sheep,0,0,,,0,,,0,,,,,,
b40ac7b6-0a07-49b8-b07c-d7b9146f5ade,Robusta coffee,c54c76fb-4906-4afd-b6f6-c7116192dd17,2020-07-28 22:14:47.871456,2020-11-26 10:49:13.124941,0,,,,enabled, ,2,0,,0,food-and-beverage-robusta-coffee,0,0,,,0,,,0,,,,,,
938e99e5-223a-4b10-8982-c0070288d0e4,Indian gooseberry,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 20:50:28.994247,2020-08-20 15:27:31.5378,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,38,0,,0,food-and-beverage-indian-gooseberry,0,0,,,0,,,0,,,,,,
2c93bb6f-b2d9-4186-997d-9e7b0e9fe354,Others alcoholic drinks,cd30def1-2053-421f-a13a-77e1b7983a96,2020-07-28 21:31:49.296935,2020-11-10 13:25:47.858267,0,,,,enabled, ,11,0,,0,food-and-beverage-others-alcoholic-drinks,0,0,,,0,,,0,,,,,,
7e2e3cd2-943f-4c5f-9a26-902c2290b195,Aquaculture,6ada5013-a2c9-4a47-bff1-88b98299e6ef,2020-08-27 12:48:18.852221,2020-08-27 13:13:31.189448,2,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,enabled,Coming soon,2,0,,0,livestock-and-petcare-aquaculture,0,1,,,0,,,0,,,,,,
1d74d59d-884b-4059-afdd-8e5d4b1c69e2,Virgin leather ,d83ab3cb-edb3-41e0-96d1-a65fb94c9153,2020-08-14 10:30:41.292361,2020-08-21 18:40:23.873286,0,,,86c8d37b-3ded-4a14-88b2-80bd3bff8cc7,enabled, ,12,0,,0,textiles-yarns-and-fibers-virgin-leather,0,0,,,0,,,0,,,,,,
0e192779-358b-4dce-8a0a-4c9d6abdf1e4,Broccoli,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 09:50:50.704304,2020-08-20 15:26:48.649389,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,13,0,,0,food-and-beverage-broccoli,0,0,,,0,,,0,,,,,,
c957ceb9-a024-4f98-9e17-08a21fd5a094,Blackberry,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 09:38:27.721717,2020-08-20 15:26:44.426512,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,11,0,,0,food-and-beverage-blackberry,0,0,,,0,,,0,,,,,,
65b9803e-7c0e-47e7-bd46-c75bc2839954,Green bean,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 20:48:00.337712,2020-08-20 15:27:29.224094,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,35,0,,0,food-and-beverage-green-bean,0,0,,,0,,,0,,,,,,
accfcdbd-c066-40fb-89bd-28eddcce414b,Horseradish,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 20:49:57.592821,2020-08-20 15:27:30.672751,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,37,0,,0,food-and-beverage-horseradish,0,0,,,0,,,0,,,,,,
b064baf9-08ab-4812-b853-767dea747d5c,Blueberry,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 09:39:02.242157,2020-08-20 15:26:45.287867,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,12,0,,0,food-and-beverage-blueberry,0,0,,,0,,,0,,,,,,
d5c39977-f4f0-4b69-a8c9-7294f453eac4,Biobased polyester,08b682e0-7b45-4683-9451-45abf17e1ceb,2020-08-14 10:35:18.970766,2020-08-21 19:28:21.232708,0,,,86c8d37b-3ded-4a14-88b2-80bd3bff8cc7,enabled, ,2,0,,0,textiles-yarns-and-fibers-biobased-polyester,0,0,,,0,,,0,,,,,,
